date spi1 spi3 spi6 spi9 spi12 spi24
06/01/2021 -1.19 -2.52 -2.33 -0.55 -0.57 -0.85
07/01/2021 0.98 -0.82 -2.05 -0.36 -0.4 -0.63
08/01/2021 -0.34 -0.27 -2.22 -1.33 -0.55 -0.64
09/01/2021 -1.02 -0.23 -2.32 -2.36 -0.65 -0.9
10/01/2021 -0.21 -0.95 -1.69 -3.01 -0.95 -1.4
11/01/2021 -0.43 -0.99 -1.25 -2.97 -2.16 -1.17
12/01/2021 0.55 -0.46 -0.67 -2.22 -2.61 -0.86
01/01/2022 1.93 0.75 0.08 -0.48 -1.62 -0.49
02/01/2022 0.4 1.57 0.25 -0.01 -1.43 -0.45
03/01/2022 -0.14 0.92 0.3 0.15 -1.07 -0.24
04/01/2022 0.92 0.62 0.9 0.43 -0.1 -0.16
05/01/2022 -0.04 0.38 1.24 0.4 0.13 -0.29
06/01/2022 -0.54 0.27 0.77 0.33 0.18 -0.35
07/01/2022 -0.91 -0.6 -0.02 0.38 -0.08 -0.42
08/01/2022 -1.56 -1.29 -0.18 0.63 -0.09 -0.56
09/01/2022 -0.75 -2.29 -0.27 0.38 -0.09 -0.62
10/01/2022 0.48 -0.15 -0.87 -0.28 0.23 -0.54
11/01/2022 -1 -0.65 -1.36 -0.8 0.08 -1.23
12/01/2022 -1.85 -1.06 -1.8 -1.1 -0.38 -1.89
01/01/2023 0.15 -1.51 -1.63 -1.62 -1.15 -1.82
02/01/2023 -1.44 -1.73 -1.91 -2.18 -1.48 -2.06
03/01/2023 0.54 -0.17 -1.09 -1.54 -1.07 -1.68
04/01/2023 -1.77 -1.43 -2.08 -2.28 -2.27 -1.65
05/01/2023 2.22 1 0.01 -0.71 -1.12 -0.76
06/01/2023 0.26 0.76 0.37 -0.5 -0.9 -0.59
07/01/2023 0.22 1.51 0.36 -0.55 -0.82 -0.72
08/01/2023 -0.52 -0.11 0.63 -0.15 -0.76 -0.72
09/01/2023 0.68 0.06 0.63 0.3 -0.52 -0.53
10/01/2023 -0.48 -0.5 1.09 -0.03 -0.99 -0.56
11/01/2023 -1.46 -1.12 -1.27 -0.22 -0.99 -0.59
12/01/2023 0.16 -1.31 -1.33 -0.4 -0.58 -0.68
01/01/2024 1.55 0 -0.51 0.7 -0.11 -0.83
02/01/2024 -0.73 0.57 -0.67 -0.72 0.02 -1.01
03/01/2024 -0.79 0.04 -1.07 -1.05 -0.37 -1.14
