station_id,station_name,region_id,region_name,lat,lon,station_elevation,data,tmax_m,tmax_max,tmax_min,tmin_m,tmin_min,tmin_max,ntmin_0,rrr24,sshn,tm_m,t_03_m,t_09_m,t_15_m
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,1/1/2007 12:00:00 AM,-1.60645,5.8,-10,-12.7742,-22.8,-5,31,8.25,136.9,-7.2,-10.8194,-4.85806,-7.25806
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,2/1/2007 12:00:00 AM,2.80357,10,-2.6,-6.7,-15,3,25,9.15,164.9,-1.95,-5.17857,0.164286,-0.985714
40701,Maku,OITR,Azarbayjan-e-Gharbi,39.379,44.392,1411.2,3/1/2007 12:00:00 AM,7.94516,12.2,1.6,0.43871,-3.8,4.2,15,53.81,119.9,4.19355,1.25161,5.86452,5.30323
40712,Orumiyeh,OITR,Azarbayjan-e-Gharbi,37.658,45.056,1328,1/1/2007 12:00:00 AM,1.70968,9.2,-5.2,-9.02581,-16,-1.2,31,8.54,121.7,-3.65806,-7.43226,-0.245161,-3.2
40712,Orumiyeh,OITR,Azarbayjan-e-Gharbi,37.658,45.056,1328,2/1/2007 12:00:00 AM,6.28571,14.4,0.6,-3.94286,-9.8,-0.6,28,19.97,144.5,1.17143,-3.13571,4.35,2.42143
40712,Orumiyeh,OITR,Azarbayjan-e-Gharbi,37.658,45.056,1328,3/1/2007 12:00:00 AM,10.6194,18.4,3.4,-0.141935,-6.8,5.8,19,48.57,165.7,5.23871,0.845161,8.56129,7.08387
40704,Ahar,OITT,Azarbayjan-e-Sharghi,38.433,47.067,1391,1/1/2007 12:00:00 AM,4.25806,12.8,-3.2,-6.12258,-15.2,2.8,27,6.23,205.6,-0.932258,-3.4129,2.40645,-0.780645
40704,Ahar,OITT,Azarbayjan-e-Sharghi,38.433,47.067,1391,2/1/2007 12:00:00 AM,5.96071,11.6,-4.4,-3.07857,-8.6,2,24,24.06,179.9,1.43929,-1.9,3.44286,1.80714
40704,Ahar,OITT,Azarbayjan-e-Sharghi,38.433,47.067,1391,3/1/2007 12:00:00 AM,8.15161,16.4,1,-1.37097,-10,6.5,24,31.39,138.4,3.39355,0.419355,5.47742,5.24516
40710,Sarab,OITT,Azarbayjan-e-Sharghi,37.935,47.508,1682,1/1/2007 12:00:00 AM,-0.258065,8.4,-8.6,-14.5935,-25,-0.6,31,0.76,159.5,-7.42581,-11.4903,-2.34194,-6.74194
40710,Sarab,OITT,Azarbayjan-e-Sharghi,37.935,47.508,1682,2/1/2007 12:00:00 AM,3.77857,9.2,-4.6,-6.55,-15.2,-0.6,28,15.76,150.1,-1.38571,-4.6,1.44286,-0.214286
40710,Sarab,OITT,Azarbayjan-e-Sharghi,37.935,47.508,1682,3/1/2007 12:00:00 AM,7.2129,13.2,0.6,-3.0129,-8.8,4.8,27,21.75,174.4,2.1,-2.23871,4.85161,3.72903
40716,Mianeh,OITT,Azarbayjan-e-Sharghi,37.421,47.732,1110,1/1/2007 12:00:00 AM,-3.63226,8,-14.4,-13.9484,-25.4,-3.4,31,3.73,111.1,-8.79032,-12.0065,-6.40645,-6.89032
40716,Mianeh,OITT,Azarbayjan-e-Sharghi,37.421,47.732,1110,2/1/2007 12:00:00 AM,8.15714,14.6,-0.2,-1.82143,-7.4,2.6,22,38.43,171.4,3.16786,-0.835714,5.07143,5.06429
