ds,precip,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SPI_24,station_id
2001-07-01,0.61,-1.2477025008792613,-0.6890669860925882,-0.5660655140185831,-0.2502102177499436,-1.0033074469771674,-1.5935229393750148,40712
2001-08-01,0.01,-1.6130920480039965,-2.009326976174379,-0.885166979390661,-1.0192100448947061,-1.0031672037757566,-1.628791976561065,40712
2001-09-01,0.13,-1.476468294721936,-2.465441789963199,-1.5493091807951487,-1.375829607872788,-1.0167912969668818,-1.664117621925597,40712
2001-10-01,7.02,-0.4214989076263844,-1.512804473370742,-2.082474510230043,-1.7215763894678178,-1.1833342862793657,-1.8181220184831344,40712
2001-11-01,33.62,0.619119453150498,-0.3113285293400506,-1.7380585075375514,-1.4324148786148592,-1.4870764280824833,-1.6313332708882664,40712
2001-12-01,28.95,0.4931198248945083,0.19083286106447006,-1.085489144619395,-1.4605437301545863,-1.3678889134954026,-1.399297124776886,40712
2002-01-01,43.48,0.8529172638202484,0.6526624704497835,-0.3474998668536608,-1.130567634623164,-1.0998521203852092,-1.2465528479673051,40712
2002-02-01,20.41,0.2239855153493805,0.4996181258741386,-0.06398707668776768,-1.1728909727896095,-1.0717074799355255,-1.2320430452073823,40712
2002-03-01,56.74,1.1203319690091773,0.807820219725529,0.5945972001474836,-0.35938109997021694,-0.7125655062486098,-1.1021671078096809,40712
2002-04-01,96.56,1.7470141397895091,1.2884798543138103,1.411903092412412,0.7471151743705593,0.15273606742268303,-0.6752314662755157,40712
2002-05-01,53.47,1.0582805439940481,1.5423974477925795,1.569420074087847,1.2593170147012922,0.47902289181894014,-0.3008901607872742,40712
2002-06-01,0.5,-1.2869376756906754,1.0919406517210783,1.341460248216156,1.262673429388342,0.4634464180049569,-0.3332024257599191,40712
2002-07-01,0.14,-1.468961155404575,-0.05588878229117603,0.9628318752587565,1.1998730551435355,0.4585564879383637,-0.33219452919276254,40712
2002-08-01,0.0,-1.6504481369357007,-2.5096519229119814,0.7683195593064317,0.8802809683845778,0.4584523984895079,-0.33219452919276254,40712
2002-09-01,0.0,-1.6504481369357007,-2.776447531350728,0.15137854081472102,0.5858131087536126,0.45709905200893014,-0.3401182856350632,40712
2002-10-01,3.03,-0.7890393174010625,-1.944654670945514,-1.3768666043048823,0.1374288926555037,0.41539467263284446,-0.4537121818460919,40712
2002-11-01,30.15,0.5266558927653605,-0.48416329897832133,-2.043373276374141,0.24988204507934195,0.378858927808237,-0.6293268766214606,40712
