station_name,year,month_num,monthly_class
Ardebil,2006,9,BWh - Hot desert
Ardebil,2006,10,Cfa - Humid subtropical
Ardebil,2006,11,Dfb - Cold humid
Ardebil,2006,12,ET - Tundra
Ardebil,2007,1,ET - Tundra
Ardebil,2007,2,Dfb - Cold humid
Ardebil,2007,3,Cfa - Humid subtropical
Ardebil,2007,4,Cfa - Humid subtropical
Ardebil,2007,5,BWh - Hot desert
Ardebil,2007,6,Dfb - Cold humid
Ardebil,2007,7,Aw - Tropical savanna
Ardebil,2007,8,Aw - Tropical savanna
Ardebil,2007,9,BWh - Hot desert
Ardebil,2007,10,BWh - Hot desert
Ardebil,2007,11,BWk - Cold desert
Ardebil,2007,12,Dfb - Cold humid
Ardebil,2008,1,ET - Tundra
Ardebil,2008,2,Dfb - Cold humid
Ardebil,2008,3,BWh - Hot desert
Ardebil,2008,4,BWh - Hot desert
Ardebil,2008,5,Cfa - Humid subtropical
Ardebil,2008,6,BWh - Hot desert
Ardebil,2008,7,Aw - Tropical savanna
Ardebil,2008,8,Aw - Tropical savanna
Ardebil,2008,9,Dfb - Cold humid
Ardebil,2008,10,Cfa - Humid subtropical
Ardebil,2008,11,BWk - Cold desert
Ardebil,2008,12,BWk - Cold desert
Ardebil,2009,1,ET - Tundra
Ardebil,2009,2,BWk - Cold desert
Ardebil,2009,3,BWk - Cold desert
Ardebil,2009,4,Cfa - Humid subtropical
Ardebil,2009,5,Cfa - Humid subtropical
